,year,solver,track,instances,cpu-time,memory,totargs,totedges,density,totlayers,totsccs,totntsccs,avgntsize,maxsccsize
2589,2019,yonas,EE-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,558.27,9640185856.0,35,96,0.0783673,2,2,1,34.0,34
2590,2019,aspartix19,DC-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,0.362,2912256.0,35,96,0.0783673,2,2,1,34.0,34
2591,2019,coquiaas,DC-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,0.292,2887680.0,35,96,0.0783673,2,2,1,34.0,34
2592,2019,eqargsolver,DC-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,19.204,2887680.0,35,96,0.0783673,2,2,1,34.0,34
2593,2019,mu-toksia,DC-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,0.266,2891776.0,35,96,0.0783673,2,2,1,34.0,34
2594,2019,pyglaf,DC-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,0.647,2887680.0,35,96,0.0783673,2,2,1,34.0,34
2595,2019,taas-dredd,DC-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,0.236,2883584.0,35,96,0.0783673,2,2,1,34.0,34
2596,2019,yonas,DC-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,40.246,3629096960.0,35,96,0.0783673,2,2,1,34.0,34
2597,2019,aspartix19,DS-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,0.523,2912256.0,35,96,0.0783673,2,2,1,34.0,34
2598,2019,coquiaas,DS-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,0.315,2875392.0,35,96,0.0783673,2,2,1,34.0,34
2599,2019,eqargsolver,DS-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,17.945,2887680.0,35,96,0.0783673,2,2,1,34.0,34
2600,2019,mu-toksia,DS-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,0.246,2875392.0,35,96,0.0783673,2,2,1,34.0,34
2601,2019,pyglaf,DS-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,0.67,2883584.0,35,96,0.0783673,2,2,1,34.0,34
2602,2019,taas-dredd,DS-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,0.267,2887680.0,35,96,0.0783673,2,2,1,34.0,34
2603,2019,yonas,DS-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,10.857,2887680.0,35,96,0.0783673,2,2,1,34.0,34
2604,2019,aspartix19,SE-PR,2019/instances/B-2-stb_287_202.tgf,0.707,2912256.0,287,2810,0.0341148,2,8,1,280.0,280
2605,2019,coquiaas,SE-PR,2019/instances/B-2-stb_287_202.tgf,4.96,2883584.0,287,2810,0.0341148,2,8,1,280.0,280
2606,2019,eqargsolver,SE-PR,2019/instances/B-2-stb_287_202.tgf,659.143,16015360.0,287,2810,0.0341148,2,8,1,280.0,280
2607,2019,mu-toksia,SE-PR,2019/instances/B-2-stb_287_202.tgf,0.293,2879488.0,287,2810,0.0341148,2,8,1,280.0,280
2608,2019,pyglaf,SE-PR,2019/instances/B-2-stb_287_202.tgf,5.432,2879488.0,287,2810,0.0341148,2,8,1,280.0,280
2609,2019,taas-dredd,SE-PR,2019/instances/B-2-stb_287_202.tgf,0.848,2883584.0,287,2810,0.0341148,2,8,1,280.0,280
2610,2019,yonas,SE-PR,2019/instances/B-2-stb_287_202.tgf,559.183,13237542912.0,287,2810,0.0341148,2,8,1,280.0,280
2611,2019,aspartix19,EE-PR,2019/instances/B-2-stb_287_202.tgf,2.531,2908160.0,287,2810,0.0341148,2,8,1,280.0,280
2612,2019,coquiaas,EE-PR,2019/instances/B-2-stb_287_202.tgf,4.999,3047424.0,287,2810,0.0341148,2,8,1,280.0,280
2613,2019,eqargsolver,EE-PR,2019/instances/B-2-stb_287_202.tgf,659.14,16068608.0,287,2810,0.0341148,2,8,1,280.0,280
2614,2019,mu-toksia,EE-PR,2019/instances/B-2-stb_287_202.tgf,3.36,2887680.0,287,2810,0.0341148,2,8,1,280.0,280
2615,2019,pyglaf,EE-PR,2019/instances/B-2-stb_287_202.tgf,5.668,2887680.0,287,2810,0.0341148,2,8,1,280.0,280
2616,2019,taas-dredd,EE-PR,2019/instances/B-2-stb_287_202.tgf,0.849,2887680.0,287,2810,0.0341148,2,8,1,280.0,280
2617,2019,yonas,EE-PR,2019/instances/B-2-stb_287_202.tgf,552.685,10586599424.0,287,2810,0.0341148,2,8,1,280.0,280
2618,2019,aspartix19,DC-PR,2019/instances/B-2-stb_287_202.tgf,0.666,2912256.0,287,2810,0.0341148,2,8,1,280.0,280
2619,2019,coquiaas,DC-PR,2019/instances/B-2-stb_287_202.tgf,0.487,2887680.0,287,2810,0.0341148,2,8,1,280.0,280
2620,2019,eqargsolver,DC-PR,2019/instances/B-2-stb_287_202.tgf,659.145,16035840.0,287,2810,0.0341148,2,8,1,280.0,280
2621,2019,mu-toksia,DC-PR,2019/instances/B-2-stb_287_202.tgf,0.483,2887680.0,287,2810,0.0341148,2,8,1,280.0,280
2622,2019,pyglaf,DC-PR,2019/instances/B-2-stb_287_202.tgf,0.703,2887680.0,287,2810,0.0341148,2,8,1,280.0,280
2623,2019,taas-dredd,DC-PR,2019/instances/B-2-stb_287_202.tgf,0.915,2875392.0,287,2810,0.0341148,2,8,1,280.0,280
2624,2019,yonas,DC-PR,2019/instances/B-2-stb_287_202.tgf,658.139,16002027520.0,287,2810,0.0341148,2,8,1,280.0,280
2625,2019,aspartix19,DS-PR,2019/instances/B-2-stb_287_202.tgf,1.04,2908160.0,287,2810,0.0341148,2,8,1,280.0,280
2626,2019,coquiaas,DS-PR,2019/instances/B-2-stb_287_202.tgf,1.819,2891776.0,287,2810,0.0341148,2,8,1,280.0,280
2627,2019,eqargsolver,DS-PR,2019/instances/B-2-stb_287_202.tgf,659.143,16035840.0,287,2810,0.0341148,2,8,1,280.0,280
2628,2019,mu-toksia,DS-PR,2019/instances/B-2-stb_287_202.tgf,1.037,2891776.0,287,2810,0.0341148,2,8,1,280.0,280
2629,2019,pyglaf,DS-PR,2019/instances/B-2-stb_287_202.tgf,0.713,2887680.0,287,2810,0.0341148,2,8,1,280.0,280
2630,2019,taas-dredd,DS-PR,2019/instances/B-2-stb_287_202.tgf,0.859,2875392.0,287,2810,0.0341148,2,8,1,280.0,280
2631,2019,yonas,DS-PR,2019/instances/B-2-stb_287_202.tgf,611.696,12972965888.0,287,2810,0.0341148,2,8,1,280.0,280
2632,2019,aspartix19,SE-PR,2019/instances/B-2-stb_291_2.tgf,0.435,2908160.0,291,3361,0.0396901,2,10,1,282.0,282
2633,2019,coquiaas,SE-PR,2019/instances/B-2-stb_291_2.tgf,2.723,2883584.0,291,3361,0.0396901,2,10,1,282.0,282
