year,solver,instances,track,cpu-time,memory,status,score
2019,aspartix19,Small-result-b86.tgf,SE-PR,0.368,2912256,COMPLETED,1
2019,aspartix19,Small-result-b87.tgf,SE-PR,0.372,2912256,COMPLETED,1
2019,aspartix19,Small-result-b88.tgf,SE-PR,0.38,2908160,COMPLETED,1
2019,aspartix19,Small-result-b89.tgf,SE-PR,0.396,2912256,COMPLETED,1
2019,aspartix19,Small-result-b9.tgf,SE-PR,0.364,2908160,COMPLETED,1
2019,aspartix19,Small-result-b90.tgf,SE-PR,0.399,2912256,COMPLETED,1
2019,aspartix19,Small-result-b91.tgf,SE-PR,0.41,2908160,COMPLETED,1
2019,aspartix19,Small-result-b92.tgf,SE-PR,0.402,2912256,COMPLETED,1
2019,aspartix19,Small-result-b93.tgf,SE-PR,0.428,2912256,COMPLETED,1
2019,aspartix19,Small-result-b94.tgf,SE-PR,0.391,2912256,COMPLETED,1
2019,aspartix19,Small-result-b95.tgf,SE-PR,0.386,2908160,COMPLETED,1
2019,aspartix19,Small-result-b96.tgf,SE-PR,0.388,3072000,COMPLETED,1
2019,aspartix19,Small-result-b97.tgf,SE-PR,0.399,2912256,COMPLETED,1
2019,aspartix19,Small-result-b98.tgf,SE-PR,0.394,2908160,COMPLETED,1
2019,aspartix19,Small-result-b99.tgf,SE-PR,0.394,2916352,COMPLETED,1
2019,aspartix19,T-1-admbuster_1000.tgf,SE-PR,0.418,2912256,COMPLETED,1
2019,aspartix19,T-1-admbuster_2000.tgf,SE-PR,0.475,2899968,COMPLETED,1
2019,aspartix19,T-1-admbuster_4000.tgf,SE-PR,0.595,2916352,COMPLETED,1
2019,aspartix19,T-1-admbuster_6000.tgf,SE-PR,0.784,2899968,COMPLETED,1
2019,aspartix19,T-1-afinput_exp_acyclic_indvary1_step3_batch_yyy03.tgf,SE-PR,0.419,2912256,COMPLETED,1
2019,aspartix19,T-1-afinput_exp_acyclic_indvary1_step3_batch_yyy10.tgf,SE-PR,0.373,2908160,COMPLETED,1
2019,aspartix19,T-1-afinput_exp_acyclic_indvary1_step5_batch_yyy10.tgf,SE-PR,0.375,2908160,COMPLETED,1
2019,aspartix19,T-1-BA_100_10_3.tgf,SE-PR,0.379,2916352,COMPLETED,1
2019,aspartix19,T-1-BA_100_10_5.tgf,SE-PR,0.37,2908160,COMPLETED,1
